COLETA,DATA,PONTO,DBO (mg/L),COP (mg/L),COD (mg/L),N-NH4 (mg/L),N-Org (mg/L),N-NO2 (mg/L),N-NO3 (mg/L),NT (mg/L),PT (mg/L),P-PO4 (mg/L),OD (mg/L),Cafeína,Estradiol,Etinilestradiol,Estrona
50,22/07/2014,IG6,6.0,1.11,4.16,9.86,10.68,1.11,0.96,12.74,1.15,1.11,0.8,1.522,0.000,0.000,0.000
51,13/10/2014,IG6,30.0,,,3.05,0.63,1.36,1.29,6.33,1.07,1.02,1.2,0.806,ND,ND,ND
52,02/03/2015,IG6,5.0,,5.70,1.01,6.10,0.24,0.36,7.71,0.54,0.11,2.6,0.776,ND,ND,ND
53,01/06/2015,IG6,4.4,,7.77,1.98,2.71,0.23,12.73,17.64,0.48,0.07,5.5,1.02,ND,ND,ND
54,30/11/2015,IG6,3.0,,,0.78,,0.07,0.97,,0.59,0.30,1.2,ND,ND,ND,ND
55,14/03/2016,IG6,5.0,,3.74,0.97,2.55,0.01,0.33,3.85,0.34,0.01,1.4,0.100,ND,ND,ND
56,06/06/2016,IG6,6.0,,6.84,1.79,0.12,0.11,0.62,2.65,0.29,0.05,3.3,0.4624515,<LD,<LQ,<LQ
57,21/11/2016,IG6,9.1,,10.42,5.13,0.95,0.06,0.44,6.58,0.43,0.12,3.2,1.7256395,<LD,0.623777938,<LD
58,03/04/2017,IG6,,,8.68,7.49,-1.29,0.11,0.96,7.27,0.62,0.45,2.2,0.428823,0.824561787,0.022052338,-0.01748884
59,14/08/2017,IG6,18.0,,,15.66,0.71,0.01,0.13,16.50,1.16,0.65,1.6,18.34221485,1.203636669,<LD,0.18647988
4,27/07/2005,IG7,80.4,,6.18,0.26,3.95,1.08,0.64,5.94,0.17,,8.2,,,,
39,28/08/2012,IG7,,,,,,,,,,,,,,,
40,02/10/2012,IG7,5.0,1.46,4.77,3.94,-0.55,0.23,1.61,5.23,0.30,0.09,7.1,,,,
41,24/10/2012,IG7,34.0,6.51,6.01,9.17,0.06,0.15,1.32,10.69,0.92,0.37,8.4,,,,
42,21/11/2012,IG7,10.0,,4.04,0.50,3.10,0.72,2.47,6.80,0.25,0.21,5.9,,,,
43,12/12/2012,IG7,14.0,,4.03,0.41,2.79,0.58,1.79,5.57,0.53,0.08,7.3,,,,
49,31/03/2014,IG7,,0.99,2.82,4.76,12.41,0.37,4.82,17.60,7.64,0.24,6.0,0.862,1.875,1.184,ND
